notification_date,age_group,confirmed_by_pcr,confirmed_cases_count
9/03/2020,AgeGroup_0-19,Yes,1
9/03/2020,AgeGroup_20-24,Yes,1
9/03/2020,AgeGroup_25-29,Yes,1
9/03/2020,AgeGroup_35-39,Yes,3
9/03/2020,AgeGroup_40-44,Yes,1
9/03/2020,AgeGroup_45-49,Yes,1
9/03/2020,AgeGroup_50-54,Yes,2
9/03/2020,AgeGroup_55-59,Yes,1
9/03/2020,AgeGroup_70+,Yes,2
10/03/2020,AgeGroup_35-39,Yes,1
10/03/2020,AgeGroup_40-44,Yes,2
10/03/2020,AgeGroup_50-54,Yes,1
10/03/2020,AgeGroup_60-64,Yes,2
11/03/2020,AgeGroup_0-19,Yes,2
11/03/2020,AgeGroup_20-24,Yes,2
11/03/2020,AgeGroup_25-29,Yes,1
11/03/2020,AgeGroup_30-34,Yes,2
11/03/2020,AgeGroup_35-39,Yes,2
11/03/2020,AgeGroup_40-44,Yes,1
11/03/2020,AgeGroup_50-54,Yes,1
11/03/2020,AgeGroup_55-59,Yes,1
11/03/2020,AgeGroup_60-64,Yes,2
11/03/2020,AgeGroup_70+,Yes,2
12/03/2020,AgeGroup_25-29,Yes,2
12/03/2020,AgeGroup_30-34,Yes,3
12/03/2020,AgeGroup_35-39,Yes,1
12/03/2020,AgeGroup_40-44,Yes,3
12/03/2020,AgeGroup_45-49,Yes,2
12/03/2020,AgeGroup_50-54,Yes,1
12/03/2020,AgeGroup_55-59,Yes,1
12/03/2020,AgeGroup_60-64,Yes,1
13/03/2020,AgeGroup_20-24,Yes,2
13/03/2020,AgeGroup_25-29,Yes,2
13/03/2020,AgeGroup_30-34,Yes,4
13/03/2020,AgeGroup_35-39,Yes,2
13/03/2020,AgeGroup_40-44,Yes,3
13/03/2020,AgeGroup_55-59,Yes,1
13/03/2020,AgeGroup_60-64,Yes,1
13/03/2020,AgeGroup_65-69,Yes,4
14/03/2020,AgeGroup_0-19,Yes,2
14/03/2020,AgeGroup_20-24,Yes,1
14/03/2020,AgeGroup_25-29,Yes,2
14/03/2020,AgeGroup_30-34,Yes,3
14/03/2020,AgeGroup_35-39,Yes,1
14/03/2020,AgeGroup_40-44,Yes,1
14/03/2020,AgeGroup_45-49,Yes,1
14/03/2020,AgeGroup_50-54,Yes,1
14/03/2020,AgeGroup_55-59,Yes,2
14/03/2020,AgeGroup_60-64,Yes,3
