DATE,OUTBREAKS,FACILITIES_AFFECTED,RESIDENT_CASES,RESIDENT_DEATHS,STAFF_CASES,WEEKLY_OUTBREAKS,WEEKLY_FACILITIES_AFFECTED,WEEKLY_RESIDENT_CASES,WEEKLY_RESIDENT_DEATHS,WEEKLY_STAFF_CASES
11/09/2020,213,,1967,580,2082,,,,,
18/09/2020,217,,2018,616,2169,,,,,
25/09/2020,220,,2027,645,2198,,,,,
2/10/2020,222,217,2027,662,2211,,,,,
9/10/2020,221,216,2028,669,2217,,,,,
16/10/2020,221,216,2028,675,2219,,,,,
23/10/2020,221,216,2027,676,2229,,,,,
30/10/2020,222,216,2027,678,2229,,,,,
6/11/2020,222,216,2027,678,2231,,,,,
13/11/2020,222,216,2027,678,2231,,,,,
20/11/2020,223,217,2027,678,2236,,,,,
27/11/2020,223,217,2027,678,2236,,,,,
4/12/2020,223,217,2027,678,2236,,,,,
11/12/2020,223,217,2027,678,2236,,,,,
18/12/2020,223,217,2027,678,2236,,,,,
23/12/2020,224,218,2027,678,2238,,,,,
8/01/2021,224,218,2027,678,2238,,,,,
15/01/2021,224,218,2027,678,2238,,,,,
22/01/2021,221,215,2029,678,2227,,,,,
29/01/2021,221,215,2029,678,2227,,,,,
5/02/2021,221,215,2029,678,2227,,,,,
12/02/2021,221,214,2029,678,2227,,,,,
19/02/2021,221,214,2029,678,2227,,,,,
26/02/2021,221,214,2029,678,2227,,,,,
5/03/2021,221,214,2029,678,2227,,,,,
12/03/2021,221,214,2029,678,2227,,,,,
19/03/2021,221,214,2029,678,2227,,,,,
26/03/2021,221,214,2029,678,2227,,,,,
1/04/2021,221,214,2029,678,2227,,,,,
9/04/2021,221,214,2029,678,2227,,,,,
16/04/2021,221,214,2029,678,2227,,,,,
23/04/2021,221,214,2029,678,2227,,,,,
30/04/2021,221,214,2029,678,2227,,,,,
7/05/2021,221,214,2029,685,2227,,,,,
14/05/2021,221,214,2029,685,2227,,,,,
4/06/2021,223,215,2031,685,2229,,,,,
11/06/2021,223,215,2032,685,2231,,,,,
18/06/2021,223,215,2032,685,2232,,,,,
26/06/2021,223,215,2032,685,2232,,,,,
2/07/2021,226,218,2054,685,2247,,,,,
9/07/2021,226,218,2060,685,2250,,,,,
16/07/2021,229,216,2060,685,2252,,,,,
23/07/2021,232,222,2060,685,2257,,,,,
30/07/2021,235,224,2060,685,2261,,,,,
6/08/2021,243,232,2088,685,2275,,,,,
13/08/2021,251,242,2113,688,2291,,,,,
20/08/2021,262,253,2134,688,2315,,,,,
27/08/2021,269,260,2152,693,2328,,,,,
3/09/2021,286,275,2191,697,2351,,,,,
10/09/2021,311,294,2282,702,2391,,,,,
17/09/2021,329,305,2338,709,2427,,,,,
24/09/2021,348,318,2424,716,2463,,,,,
1/10/2021,369,328,2453,728,2493,,,,,
8/10/2021,405,355,2498,744,2542,,,,,
15/10/2021,438,388,2652,761,2624,,,,,
22/10/2021,462,400,2797,776,2696,,,,,
29/10/2021,477,412,2920,797,2750,,,,,
5/11/2021,487,417,3060,819,2787,,,,,
12/11/2021,503,426,3175,839,2826,,,,,
19/11/2021,516,434,3280,848,2863,,,,,
26/11/2021,529,436,3387,867,2899,,,,,
3/12/2021,541,440,3451,877,2938,,,,,
10/12/2021,560,448,3560,887,2983,,,,,
17/12/2021,597,477,3628,891,3041,,,,,
24/12/2021,635,521,3764,904,3184,,,,,
30/12/2021,224,218,2027,678,2238,,,,,
7/01/2022,907,818,5017,924,4912,,,,,
14/01/2022,1477,1203,7321,977,7502,,,,,
21/01/2022,2391,1773,12041,1130,14872,,,,,
28/01/2022,2616,1952,13998,1356,16773,,,,,
4/02/2022,2762,1998,15496,1503,18095,,,,,
11/02/2022,2901,2033,17002,1619,19067,,,,,
18/02/2022,3141,2063,17889,1709,19846,,,,,
25/02/2022,3427,2097,18880,1781,21705,,,,,
4/03/2022,2875,2114,20104,1821,22762,,,,,
11/03/2022,2870,2185,20728,1844,23331,,,,,
18/03/2022,3003,2238,21691,1873,24216,,,,,
25/03/2022,2964,2023,22539,1831,24522,,,,,
1/04/2022,3207,2082,24102,1934,25713,,,,,
8/04/2022,3466,2149,26193,1974,27444,,,,,
