LOCKDOWN_NAME,START,END
Initial Business Closure,23/03/2020 02:00 PM,5/06/2020 12:00 PM
Greater Darwin and Alice Springs Lockdown,27/06/2021 01:00 PM,9/07/2021 01:00 PM
Greater Darwin and Katherine Lockdown,16/08/2021 12:00 PM,26/08/2021 12:00 PM
Katherine Lockdown,5/11/2021 12:01 AM,7/11/2021 03:00 PM
Katherine and Binjari Lockdown,15/11/2021 06:00 PM,7/12/2021 11:59 AM
Robinson River Lockdown,15/11/2021 06:00 PM,22/11/2021 04:17 PM
Lajamanu Lockdown,27/11/2021 10:27 PM,1/12/2021 12:00 PM
Tennant Creek Lockdown,17/12/2021 04:55 PM,23/12/2021 05:00 PM
Various Locality Lockdown,19/12/2021 04:28 PM,23/12/2021 01:42 PM
Yirrkala Lockdown,17/01/2022 04:00 PM,20/01/2022 02:00 PM
Elcho Island and Surrounds Lockdown,17/01/2022 04:01 PM,30/01/2022 02:00 PM
Gunyangara and Wurrumiyanga Lockdown,22/01/2022 02:00 PM,29/01/2022 02:00 PM
Utopia Lockdown,22/01/2022 07:22 PM,29/01/2022 02:00 PM
Milikapiti Lockdown,24/01/2022 02:46 PM,30/01/2022 02:00 PM
Ampilatwatja Lockdown,28/01/2022 02:00 PM,30/01/2022 02:00 PM
