GAZETTE_NO,GAZETTE_DATE,TITLE,URL,NOTE
S10,18-Mar-20,Declaration of Public Health Emergency,https://nt.gov.au/__data/assets/pdf_file/0003/804018/s10.pdf,Declaration of Public Health Emergency for 5 days (until 23 March 2020)
S12,20-Mar-20,Extension of Operation of Declaration of Public Health Emergency,https://nt.gov.au/__data/assets/pdf_file/0020/805520/s12.pdf,Extension for 5 days (until 28 March 2020)
S15,27-Mar-20,Extension of Operation of Declaration of Public Health Emergency,https://nt.gov.au/__data/assets/pdf_file/0019/809011/s15.pdf,Extension for 90 days (until 26 June 2020)
S36,23-Jun-20,Extension of Operation of Declaration of Public Health Emergency,https://nt.gov.au/__data/assets/pdf_file/0006/898683/s36.pdf,Extension for 90 days (until 24 September 2020)
S48,23-Sep-20,Extension of Operation of Declaration of Public Health Emergency,https://nt.gov.au/__data/assets/pdf_file/0004/932287/s48.pdf,Extension for 90 days (until 23 December 2020)
S55,11-Dec-20,Extension of Operation of Declaration of Public Health Emergency,https://nt.gov.au/__data/assets/pdf_file/0009/956178/s55.pdf,Extension for 90 days (until 23 March 2021)
G10,10-Mar-21,Extension of Operation of Declaration of Public Health Emergency,https://nt.gov.au/__data/assets/pdf_file/0010/981910/g10.pdf,Extension for 90 days (until 21 June 2021)
G24,16-Jun-21,Extension of Operation of Declaration of Public Health Emergency,https://nt.gov.au/__data/assets/pdf_file/0012/1012440/g24.pdf,Extension for 90 days (until 19 September 2021)
S34,8-Sep-21,Extension of Operation of Declaration of Public Health Emergency,https://consumeraffairs.nt.gov.au/__data/assets/pdf_file/0008/1047635/s34.pdf,Extension for 90 days (until 18 November 2021)
S38,18-Nov-21,Extension of Operation of Declaration of Public Health Emergency,https://consumeraffairs.nt.gov.au/__data/assets/pdf_file/0017/1071044/s38.pdf,Extension for 90 days (until 16 March 2022)
S10,16-Mar-22,Extension of Operation of Declaration of Public Health Emergency,https://nt.gov.au/__data/assets/pdf_file/0009/1093851/s10.pdf,Extension for 90 days (until 16 June 2022)
