REPORT_DATE,NEW_CASES_TOTAL,NEW_CASES_PCR,NEW_CASES_RAT,IN_HOSPITAL,IN_ICU,DEATHS,PCR_TESTS
1/01/2020,0,0,0,0,0,0,0
2/01/2020,0,0,0,0,0,0,0
3/01/2020,0,0,0,0,0,0,0
4/01/2020,0,0,0,0,0,0,0
5/01/2020,0,0,0,0,0,0,0
6/01/2020,0,0,0,0,0,0,0
7/01/2020,0,0,0,0,0,0,0
8/01/2020,0,0,0,0,0,0,0
9/01/2020,0,0,0,0,0,0,0
10/01/2020,0,0,0,0,0,0,0
11/01/2020,0,0,0,0,0,0,0
12/01/2020,0,0,0,0,0,0,0
13/01/2020,0,0,0,0,0,0,0
14/01/2020,0,0,0,0,0,0,0
15/01/2020,0,0,0,0,0,0,0
16/01/2020,0,0,0,0,0,0,0
17/01/2020,0,0,0,0,0,0,0
18/01/2020,0,0,0,0,0,0,0
19/01/2020,0,0,0,0,0,0,0
20/01/2020,0,0,0,0,0,0,0
21/01/2020,0,0,0,0,0,0,0
22/01/2020,0,0,0,0,0,0,0
23/01/2020,0,0,0,0,0,0,0
24/01/2020,0,0,0,0,0,0,0
25/01/2020,0,0,0,0,0,0,0
26/01/2020,0,0,0,0,0,0,0
27/01/2020,0,0,0,0,0,0,0
28/01/2020,0,0,0,0,0,0,0
29/01/2020,2,2,0,0,0,0,0
30/01/2020,0,0,0,0,0,0,0
31/01/2020,0,0,0,0,0,0,0
1/02/2020,1,1,0,0,0,0,0
2/02/2020,0,0,0,0,0,0,0
3/02/2020,0,0,0,0,0,0,0
4/02/2020,0,0,0,0,0,0,0
5/02/2020,0,0,0,0,0,0,0
6/02/2020,0,0,0,0,0,0,0
7/02/2020,0,0,0,0,0,0,0
8/02/2020,0,0,0,0,0,0,0
9/02/2020,0,0,0,0,0,0,0
10/02/2020,0,0,0,0,0,0,0
11/02/2020,0,0,0,0,0,0,0
12/02/2020,0,0,0,0,0,0,0
13/02/2020,0,0,0,0,0,0,0
14/02/2020,0,0,0,0,0,0,0
15/02/2020,0,0,0,0,0,0,0
16/02/2020,0,0,0,0,0,0,0
17/02/2020,0,0,0,0,0,0,0
18/02/2020,0,0,0,0,0,0,0
19/02/2020,0,0,0,0,0,0,0
20/02/2020,0,0,0,0,0,0,0
21/02/2020,0,0,0,0,0,0,0
22/02/2020,0,0,0,0,0,0,0
23/02/2020,0,0,0,0,0,0,0
24/02/2020,0,0,0,0,0,0,0
25/02/2020,0,0,0,0,0,0,0
26/02/2020,0,0,0,0,0,0,0
27/02/2020,3,3,0,0,0,0,0
28/02/2020,0,0,0,0,0,0,0
29/02/2020,0,0,0,0,0,0,0
1/03/2020,2,2,0,0,0,0,0
2/03/2020,0,0,0,0,0,0,0
3/03/2020,0,0,0,0,0,0,0
4/03/2020,1,1,0,0,0,0,0
5/03/2020,0,0,0,0,0,0,0
6/03/2020,0,0,0,0,0,0,0
7/03/2020,1,1,0,0,0,0,0
8/03/2020,1,1,0,0,0,0,0
9/03/2020,3,3,0,0,0,0,0
10/03/2020,3,3,0,0,0,0,0
11/03/2020,3,3,0,0,0,0,0
12/03/2020,6,6,0,0,0,0,0
13/03/2020,9,9,0,0,0,0,0
14/03/2020,13,13,0,0,0,0,0
15/03/2020,8,8,0,0,0,0,0
16/03/2020,14,14,0,0,0,0,0
17/03/2020,23,23,0,7,0,0,0
18/03/2020,27,27,0,6,0,0,2500
19/03/2020,29,29,0,7,0,0,1000
20/03/2020,28,28,0,7,0,0,1980
21/03/2020,51,51,0,0,0,0,2157
22/03/2020,67,67,0,0,0,0,1163
23/03/2020,59,59,0,6,0,0,2400
24/03/2020,56,56,0,12,2,0,800
25/03/2020,55,55,0,12,2,0,1300
26/03/2020,54,54,0,14,3,3,500
27/03/2020,54,54,0,22,3,0,1400
28/03/2020,111,111,0,21,3,0,4100
29/03/2020,84,84,0,26,4,1,4000
30/03/2020,56,56,0,29,4,0,4000
31/03/2020,96,96,0,29,4,0,3000
1/04/2020,51,51,0,32,6,0,3000
2/04/2020,68,68,0,34,6,2,2000
3/04/2020,49,49,0,37,7,1,2000
4/04/2020,30,30,0,42,10,1,2000
5/04/2020,20,20,0,47,11,0,3000
6/04/2020,23,23,0,45,11,2,2000
7/04/2020,33,33,0,47,13,1,1000
8/04/2020,21,21,0,45,12,1,1000
9/04/2020,16,16,0,50,13,0,2000
10/04/2020,13,13,0,43,13,1,2000
11/04/2020,24,24,0,44,15,1,3000
12/04/2020,3,3,0,44,16,0,2000
13/04/2020,13,13,0,40,14,0,2000
14/04/2020,10,10,0,40,15,0,1000
15/04/2020,8,8,0,39,18,0,1000
16/04/2020,2,2,0,39,18,0,1000
17/04/2020,1,1,0,32,13,0,1000
18/04/2020,17,17,0,30,12,0,2000
19/04/2020,9,9,0,29,10,1,4000
20/04/2020,1,1,0,28,11,0,3000
21/04/2020,7,7,0,28,12,0,4000
22/04/2020,2,2,0,29,12,0,2000
23/04/2020,1,1,0,27,10,1,2000
24/04/2020,6,6,0,27,11,0,3000
25/04/2020,3,3,0,24,11,0,3000
26/04/2020,3,3,0,21,10,1,2000
27/04/2020,1,1,0,23,11,0,3000
28/04/2020,2,2,0,23,11,0,3000
29/04/2020,3,3,0,18,9,1,5049
30/04/2020,7,7,0,18,9,0,2043
1/05/2020,3,3,0,16,7,0,4026
2/05/2020,7,7,0,12,7,0,8589
3/05/2020,13,13,0,12,7,0,5521
4/05/2020,22,22,0,11,6,0,9205
5/05/2020,17,17,0,12,6,0,8228
6/05/2020,17,17,0,8,6,0,5316
7/05/2020,14,14,0,8,6,0,10100
8/05/2020,13,13,0,8,6,0,14430
9/05/2020,11,11,0,7,6,0,16758
10/05/2020,10,10,0,7,5,0,16640
11/05/2020,7,7,0,7,5,0,16984
12/05/2020,17,17,0,8,4,0,18437
13/05/2020,7,7,0,9,6,0,13125
14/05/2020,9,9,0,9,6,0,14804
15/05/2020,21,21,0,9,7,0,16186
16/05/2020,11,11,0,11,7,0,20018
17/05/2020,7,7,0,11,7,0,14511
18/05/2020,6,6,0,9,5,0,14249
19/05/2020,6,6,0,11,5,0,7071
20/05/2020,8,8,0,10,5,0,12830
21/05/2020,4,4,0,10,5,0,9152
22/05/2020,12,12,0,10,5,0,11401
23/05/2020,10,10,0,10,3,1,14430
24/05/2020,2,2,0,9,3,0,5723
25/05/2020,2,2,0,8,3,0,21420
26/05/2020,5,5,0,8,3,0,11632
27/05/2020,8,8,0,8,4,0,5528
28/05/2020,10,10,0,8,3,0,33426
29/05/2020,7,7,0,7,2,0,9861
30/05/2020,11,11,0,7,2,0,12392
31/05/2020,6,6,0,6,2,0,8480
1/06/2020,4,4,0,6,1,0,8126
2/06/2020,10,10,0,9,2,0,5850
3/06/2020,7,7,0,9,2,0,5818
4/06/2020,8,8,0,7,2,0,5148
5/06/2020,3,3,0,7,1,0,9683
6/06/2020,0,0,0,8,3,0,6768
7/06/2020,4,4,0,6,2,0,-12142
8/06/2020,2,2,0,7,2,0,9140
9/06/2020,0,0,0,7,1,0,3752
10/06/2020,4,4,0,9,2,0,4181
11/06/2020,8,8,0,6,1,0,9955
12/06/2020,4,4,0,5,1,0,6348
13/06/2020,8,8,0,5,1,0,8793
14/06/2020,9,9,0,6,2,0,9529
15/06/2020,12,12,0,7,3,0,8339
16/06/2020,9,9,0,6,2,0,4012
17/06/2020,21,21,0,5,2,0,5030
18/06/2020,18,18,0,4,2,0,8931
19/06/2020,13,13,0,5,2,0,12400
20/06/2020,25,25,0,6,3,0,14671
21/06/2020,19,19,0,7,2,0,9504
22/06/2020,16,16,0,9,2,0,15400
23/06/2020,17,17,0,9,3,0,6314
24/06/2020,20,20,0,7,2,1,8149
25/06/2020,33,33,0,7,2,0,20999
26/06/2020,30,30,0,6,1,0,20304
27/06/2020,41,41,0,5,1,0,20168
28/06/2020,49,49,0,7,1,0,22103
29/06/2020,75,75,0,9,1,0,17954
30/06/2020,64,64,0,9,1,0,15381
1/07/2020,73,73,0,15,2,0,17416
2/07/2020,77,77,0,20,4,0,20682
3/07/2020,66,66,0,23,6,0,26320
4/07/2020,108,108,0,25,3,0,24430
