REPORT_DATE,DEATHS_00_09,DEATHS_10_19,DEATHS_20_29,DEATHS_30_39,DEATHS_40_49,DEATHS_50_59,DEATHS_60_69,DEATHS_70_79,DEATHS_80_89,DEATHS_90_PLUS,DEATHS_UNKNOWN,DEATHS_TOTAL,SOURCE
26/03/2020,0,0,0,0,0,0,0,3,0,0,0,3,Media Release
27/03/2020,0,0,0,0,0,0,0,3,0,0,0,3,Media Release
28/03/2020,0,0,0,0,0,0,0,3,0,0,0,3,Media Release
29/03/2020,0,0,0,0,0,0,0,3,1,0,0,4,Media Release
30/03/2020,0,0,0,0,0,0,0,3,1,0,0,4,Media Release
31/03/2020,0,0,0,0,0,0,0,3,1,0,0,4,Media Release
1/04/2020,0,0,0,0,0,0,0,3,1,0,0,4,Media Release
2/04/2020,0,0,0,0,0,0,1,4,1,0,0,6,Media Release
3/04/2020,0,0,0,0,0,0,1,4,2,0,0,7,Media Release
4/04/2020,0,0,0,0,0,0,1,5,2,0,0,8,Media Release
5/04/2020,0,0,0,0,0,0,1,5,2,0,0,8,Media Release
6/04/2020,0,0,0,0,0,1,1,5,3,0,0,10,Media Release
7/04/2020,0,0,0,0,0,1,1,5,4,0,0,11,Media Release
8/04/2020,0,0,0,0,0,1,1,5,5,0,0,12,Media Release
9/04/2020,0,0,0,0,0,1,1,5,5,0,0,12,Media Release
10/04/2020,0,0,0,0,0,1,1,5,6,0,0,13,Media Release
11/04/2020,0,0,0,0,0,1,1,5,7,0,0,14,Media Release
12/04/2020,0,0,0,0,0,1,1,5,7,0,0,14,Media Release
13/04/2020,0,0,0,0,0,1,1,5,7,0,0,14,Media Release
14/04/2020,0,0,0,0,0,1,1,5,7,0,0,14,Media Release
15/04/2020,0,0,0,0,0,1,1,5,7,0,0,14,Media Release
16/04/2020,0,0,0,0,0,1,1,5,7,0,0,14,Media Release
17/04/2020,0,0,0,0,0,1,1,5,7,0,0,14,Media Release
18/04/2020,0,0,0,0,0,1,1,5,7,0,0,14,Media Release
19/04/2020,0,0,0,0,0,1,1,5,8,0,0,15,Media Release
20/04/2020,0,0,0,0,0,1,1,5,8,0,0,15,Media Release
21/04/2020,0,0,0,0,0,1,1,5,8,0,0,15,Media Release
22/04/2020,0,0,0,0,0,1,1,5,8,0,0,15,Media Release
23/04/2020,0,0,0,0,0,1,2,5,8,0,0,16,Media Release
24/04/2020,0,0,0,0,0,1,2,5,8,0,0,16,Media Release
25/04/2020,0,0,0,0,0,1,2,5,8,0,0,16,Media Release
26/04/2020,0,0,0,0,0,1,2,5,8,1,0,17,Media Release
27/04/2020,0,0,0,0,0,1,2,5,8,1,0,17,Media Release
28/04/2020,0,0,0,0,0,1,2,5,8,1,0,17,Media Release
29/04/2020,0,0,0,0,0,1,2,5,9,1,0,18,Media Release
30/04/2020,0,0,0,0,0,1,2,5,9,1,0,18,Media Release
1/05/2020,0,0,0,0,0,1,2,5,9,1,0,18,Media Release
2/05/2020,0,0,0,0,0,1,2,5,9,1,0,18,Media Release
3/05/2020,0,0,0,0,0,1,2,5,9,1,0,18,Media Release
4/05/2020,0,0,0,0,0,1,2,5,9,1,0,18,Media Release
5/05/2020,0,0,0,0,0,1,2,5,9,1,0,18,Media Release
6/05/2020,0,0,0,0,0,1,2,5,9,1,0,18,Media Release
7/05/2020,0,0,0,0,0,1,2,5,9,1,0,18,Media Release
8/05/2020,0,0,0,0,0,1,2,5,9,1,0,18,Media Release
9/05/2020,0,0,0,0,0,1,2,5,9,1,0,18,Media Release
10/05/2020,0,0,0,0,0,1,2,5,9,1,0,18,Media Release
11/05/2020,0,0,0,0,0,1,2,5,9,1,0,18,Media Release
12/05/2020,0,0,0,0,0,1,2,5,9,1,0,18,Media Release
13/05/2020,0,0,0,0,0,1,2,5,9,1,0,18,Media Release
14/05/2020,0,0,0,0,0,1,2,5,9,1,0,18,Media Release
15/05/2020,0,0,0,0,0,1,2,5,9,1,0,18,Media Release
16/05/2020,0,0,0,0,0,1,2,5,9,1,0,18,Media Release
17/05/2020,0,0,0,0,0,1,2,5,9,1,0,18,Media Release
18/05/2020,0,0,0,0,0,1,2,5,9,1,0,18,Media Release
19/05/2020,0,0,0,0,0,1,2,5,9,1,0,18,Media Release
20/05/2020,0,0,0,0,0,1,2,5,9,1,0,18,Media Release
21/05/2020,0,0,0,0,0,1,2,5,9,1,0,18,Media Release
22/05/2020,0,0,0,0,0,1,2,5,9,1,0,18,Media Release
23/05/2020,0,0,0,0,0,1,3,5,9,1,0,19,Media Release
24/05/2020,0,0,0,0,0,1,3,5,9,1,0,19,Media Release
25/05/2020,0,0,0,0,0,1,3,5,9,1,0,19,Media Release
26/05/2020,0,0,0,0,0,1,3,5,9,1,0,19,Media Release
27/05/2020,0,0,0,0,0,1,3,5,9,1,0,19,Media Release
28/05/2020,0,0,0,0,0,1,3,5,9,1,0,19,Media Release
29/05/2020,0,0,0,0,0,1,3,5,9,1,0,19,Media Release
30/05/2020,0,0,0,0,0,1,3,5,9,1,0,19,Media Release
31/05/2020,0,0,0,0,0,1,3,5,9,1,0,19,Media Release
1/06/2020,0,0,0,0,0,1,3,5,9,1,0,19,Media Release
2/06/2020,0,0,0,0,0,1,3,5,9,1,0,19,Media Release
3/06/2020,0,0,0,0,0,1,3,5,9,1,0,19,Media Release
4/06/2020,0,0,0,0,0,1,3,5,9,1,0,19,Media Release
5/06/2020,0,0,0,0,0,1,3,5,9,1,0,19,Media Release
6/06/2020,0,0,0,0,0,1,3,5,9,1,0,19,Media Release
7/06/2020,0,0,0,0,0,1,3,5,9,1,0,19,Media Release
8/06/2020,0,0,0,0,0,1,3,5,9,1,0,19,Media Release
9/06/2020,0,0,0,0,0,1,3,5,9,1,0,19,Media Release
10/06/2020,0,0,0,0,0,1,3,5,9,1,0,19,Media Release
11/06/2020,0,0,0,0,0,1,3,5,9,1,0,19,Media Release
12/06/2020,0,0,0,0,0,1,3,5,9,1,0,19,Media Release
13/06/2020,0,0,0,0,0,1,3,5,9,1,0,19,Media Release
14/06/2020,0,0,0,0,0,1,3,5,9,1,0,19,Media Release
15/06/2020,0,0,0,0,0,1,3,5,9,1,0,19,Media Release
16/06/2020,0,0,0,0,0,1,3,5,9,1,0,19,Media Release
17/06/2020,0,0,0,0,0,1,3,5,9,1,0,19,Media Release
18/06/2020,0,0,0,0,0,1,3,5,9,1,0,19,Media Release
