REPORT_DATE,HOSPITALISED_00_09,HOSPITALISED_10_19,HOSPITALISED_20_29,HOSPITALISED_30_39,HOSPITALISED_40_49,HOSPITALISED_50_59,HOSPITALISED_60_69,HOSPITALISED_70_79,HOSPITALISED_80_89,HOSPITALISED_90_PLUS,HOSPITALISED_TOTAL
28/08/2020,1,0,9,12,17,42,64,88,177,103,513
2/09/2020,0,0,9,8,16,33,46,74,145,90,421
4/09/2020,0,0,7,9,11,30,41,57,101,73,329
5/09/2020,1,1,9,8,11,28,37,49,93,61,298
8/09/2020,1,1,5,4,12,24,32,38,75,46,238
11/09/2020,1,0,5,3,6,14,20,23,43,25,140
13/09/2020,1,0,3,4,6,13,19,21,31,18,116
14/09/2020,1,0,5,4,5,11,19,22,36,19,122
16/09/2020,2,0,4,4,4,10,14,20,31,18,107
21/09/2020,0,0,3,5,3,4,12,21,26,18,92
22/09/2020,0,0,1,4,2,4,13,18,24,17,83
23/09/2020,0,0,0,3,2,4,13,16,21,16,75
24/09/2020,0,0,0,3,2,3,9,15,20,15,67
26/09/2020,0,0,0,2,3,3,3,13,16,13,53
29/09/2020,0,0,0,2,3,3,3,9,14,12,46
30/09/2000,0,1,0,3,2,4,2,9,13,10,44
1/10/2020,0,0,0,3,2,3,2,89,10,10,38
2/10/2020,0,0,0,4,3,2,2,8,10,9,38
5/10/2020,0,0,0,2,3,2,0,8,7,8,30
6/10/2020,0,0,0,2,2,0,0,6,5,6,21
7/10/2020,0,0,0,2,2,1,0,2,4,5,16
8/10/2020,0,0,0,2,2,1,0,3,4,5,17
9/10/2020,0,0,0,2,1,1,0,3,5,5,17
10/10/2020,0,0,0,3,0,1,1,3,8,5,21
11/10/2020,0,0,0,2,1,1,1,3,8,5,21
12/10/2020,0,0,0,3,1,1,1,2,8,5,21
13/10/2020,0,0,0,3,2,2,1,3,7,5,23
15/10/2020,0,0,0,3,1,2,1,3,7,4,21
16/10/2020,0,0,0,2,1,2,1,2,3,3,14
22/10/2020,1,0,0,0,0,0,1,3,2,2,9
23/10/2020,1,0,0,0,0,0,0,3,2,2,8
25/10/2020,1,0,0,0,0,0,0,3,1,2,7
26/10/2020,1,0,0,0,0,0,0,3,1,2,7
27/10/2020,1,0,0,0,0,0,0,1,1,2,5
28/10/2020,0,0,0,0,0,0,0,1,1,1,3
29/10/2020,0,0,0,0,0,0,2,1,1,1,5
31/10/2020,0,0,0,0,0,0,0,0,1,1,2
1/11/2020,0,0,0,0,0,0,0,0,1,1,2
2/11/2020,0,0,0,0,0,0,0,0,1,1,2
3/11/2020,0,0,0,0,0,0,0,0,1,1,2
4/11/2020,0,0,0,0,0,0,0,0,1,1,2
5/11/2020,0,0,0,0,0,0,0,0,1,1,2
12/11/2020,0,0,0,0,0,0,0,0,1,1,2
17/11/2020,0,0,0,0,0,0,0,0,1,1,2
18/11/2020,0,0,0,0,0,0,0,0,1,1,2
23/11/2020,0,0,0,0,0,0,0,0,0,1,1
24/11/2020,0,0,0,0,0,0,0,0,0,0,0
30/11/2020,0,0,0,0,0,0,0,0,0,0,0
2/12/2020,0,0,0,0,0,0,0,0,0,0,0
17/12/2020,0,0,0,0,0,0,0,0,0,0,0
23/12/2020,0,0,0,0,0,0,0,0,0,0,0
27/12/2020,0,0,0,0,0,0,0,0,0,0,0
30/12/2020,0,0,0,0,0,0,0,0,0,0,0
31/12/2020,0,0,0,0,0,0,0,0,0,0,0
1/01/2021,0,0,0,0,0,0,0,0,0,0,0
2/01/2021,0,0,0,0,0,0,0,0,0,0,0
3/01/2021,0,0,0,0,0,0,0,0,0,0,0
5/01/2021,0,0,0,0,1,0,0,0,0,0,1
7/01/2021,0,0,0,0,0,0,0,0,0,0,0
11/01/2021,0,0,0,0,0,0,0,0,0,0,0
12/01/2021,0,0,0,0,0,0,0,0,0,0,0
15/01/2021,0,0,0,0,0,0,0,0,0,0,0
17/01/2021,0,0,0,0,0,0,1,0,0,0,1
19/01/2021,0,0,0,0,0,0,0,0,0,0,0
20/01/2021,0,0,0,0,0,0,0,0,0,0,0
21/01/2021,0,0,0,0,0,0,0,0,0,0,0
22/01/2021,0,0,0,0,0,0,0,0,0,0,0
23/01/2021,0,0,0,0,0,0,0,0,0,0,0
24/01/2021,0,0,0,0,0,0,0,0,0,0,0
25/01/2021,0,0,0,0,0,0,0,0,0,0,0
27/01/2021,0,0,0,0,0,0,0,0,0,0,0
31/01/2021,0,0,0,0,0,0,0,0,0,0,0
5/02/2021,0,0,0,0,0,0,0,0,0,0,0
7/02/2021,0,0,0,0,0,0,0,0,0,0,0
8/02/2021,0,0,0,0,0,0,0,0,0,0,0
9/02/2021,0,0,0,0,0,0,0,0,0,0,0
10/02/2021,0,0,0,1,0,0,0,0,0,0,1
